Simplified,Traditional,Pinyin,Level
想念,想念,xiǎngniàn,4
想象,想象,xiǎngxiàng,4
项,項,xiàng,4
项目,項目,xiàngmù,4
相片,相片,xiàngpiàn,4
消化,消化,xiāohuà,4
销售,銷售,xiāoshòu,4
小吃,小吃,xiǎochī,4
小伙子,小伙子,xiǎohuǒzi,4
小型,小型,xiǎoxíng,4
效率,效率,xiàolǜ,4
些,些,xiē,4
心理,心理,xīnlǐ,4
新郎,新郎,xīnláng,4
新娘,新娘,xīnniáng,4
新鲜,新鮮,xīnxiān,4
新型,新型,xīnxíng,4
兴奋,興奮,xīngfèn,4
形容,形容,xíngróng,4
形势,形勢,xíngshì,4
型,型,xíng,4
型号,型號,xínghào,4
醒,醒,xǐng,4
兴趣,興趣,xìngqù,4
性质,性質,xìngzhì,4
兄弟,兄弟,xiōngdì,4
胸部,胸部,xiōngbù,4
修理,修理,xiūlǐ,4
选择,選擇,xuǎnzé,4
学分,學分,xuéfēn,4
学年,學年,xuénián,4
学时,學時,xuéshí,4
学术,學術,xuéshù,4
学问,學問,xuéwen,4
寻找,尋找,xúnzhǎo,4
迅速,迅速,xùnsù,4
牙,牙,yá,4
牙刷,牙刷,yáshuā,4
亚运会,亞運會,Yàyùnhuì,4
呀,呀,ya,4
延长,延長,yáncháng,4
延期,延期,yánqī,4
延续,延續,yánxù,4
严,嚴,yán,4
严格,嚴格,yángé,4
严重,嚴重,yánzhòng,4
研究,研究,yánjiū,4
研究生,研究生,yánjiūshēng,4
研制,研製,yánzhì,4
盐,鹽,yán,4
眼镜,眼鏡,yǎnjìng,4
眼泪,眼淚,yǎnlèi,4
眼里,眼裡,yǎnli,4
演讲,演講,yǎnjiǎng,4
阳台,陽臺,yángtái,4
养成,養成,yǎngchéng,4
腰,腰,yāo,4
摇,搖,yáo,4
药物,藥物,yàowù,4
要,要,yào,4
业余,業餘,yèyú,4
叶子,葉子,yèzi,4
医疗,醫療,yīliáo,4
医学,醫學,yīxué,4
依靠,依靠,yīkào,4
依然,依然,yīrán,4
一律,一律,yīlǜ,4
一再,一再,yīzài,4
一致,一致,yīzhì,4
移,移,yí,4
移动,移動,yídòng,4
移民,移民,yímín,4
遗产,遺產,yíchǎn,4
遗传,遺傳,yíchuán,4
疑问,疑問,yíwèn,4
以及,以及,yǐjí,4
以内,以內,yǐnèi,4
一般来说,一般來說,yībānláishuō,4
义务,義務,yìwù,4
议论,議論,yìlùn,4
引,引,yǐn,4
引导,引導,yǐndǎo,4
引进,引進,yǐnjìn,4
引起,引起,yǐnqǐ,4
应,應,yīng,4
英勇,英勇,yīngyǒng,4
营业,營業,yíngyè,4
赢得,贏得,yíngdé,4
影子,影子,yǐngzi,4
勇敢,勇敢,yǒnggǎn,4
勇气,勇氣,yǒngqì,4
用途,用途,yòngtú,4
优良,優良,yōuliáng,4
优美,優美,yōuměi,4
优秀,優秀,yōuxiù,4
邮局,郵局,yóujú,4
有劲儿,有勁兒,yǒujìnr,4
有趣,有趣,yǒuqù,4
有限,有限,yǒuxiàn,4
幼儿园,幼兒園,yòu'éryuán,4
于是,於是,yúshì,4
语法,語法,yǔfǎ,4
语音,語音,yǔyīn,4
玉,玉,yù,4
玉米,玉米,yùmǐ,4
预测,預測,yùcè,4
预订,預訂,yùdìng,4
遇,遇,yù,4
遇到,遇到,yùdào,4
遇见,遇見,yùjiàn,4
原料,原料,yuánliào,4
原则,原則,yuánzé,4
圆,圓,yuán,4
圆满,圓滿,yuánmǎn,4
约会,約會,yuēhuì,4
月底,月底,yuèdǐ,4
阅读,閱讀,yuèdú,4
运动会,運動會,yùndònghuì,4
运动员,運動員,yùndòngyuán,4
运气,運氣,yùnqi,4
运用,運用,yùnyòng,4
再三,再三,zàisān,4
在乎,在乎,zàihu,4
在于,在於,zàiyú,4
赞成,贊成,zànchéng,4
赞赏,讚賞,zànshǎng,4
赞助,贊助,zànzhù,4
造型,造型,zàoxíng,4
战斗,戰鬥,zhàndòu,4
战胜,戰勝,zhànshèng,4
战士,戰士,zhànshì,4
战争,戰爭,zhànzhēng,4
丈夫,丈夫,zhàngfu,4
招呼,招呼,zhāohu,4
着,著,zháo,4
着火,著火,zháohuǒ,4
着急,著急,zháojí,4
召开,召開,zhàokāi,4
折,折,zhé,4
针,針,zhēn,4
针对,針對,zhēnduì,4
阵,陣,zhèn,4
争论,爭論,zhēnglùn,4
征服,征服,zhēngfú,4
征求,徵求,zhēngqiú,4
政府,政府,zhèngfǔ,4
政治,政治,zhèngzhì,4
之后,之後,zhīhòu,4
之间,之間,zhījiān,4
之前,之前,zhīqián,4
之一,之一,zhīyī,4
支,支,zhī,4
植物,植物,zhíwù,4
指挥,指揮,zhǐhuī,4
制订,制訂,zhìdìng,4
质量,質量,zhìliàng,4
治,治,zhì,4
治疗,治療,zhìliáo,4
智力,智力,zhìlì,4
智能,智能,zhìnéng,4
中介,中介,zhōngjiè,4
种类,種類,zhǒnglèi,4
中奖,中獎,zhòngjiǎng,4
种,種,zhòng,4
种植,種植,zhòngzhí,4
重量,重量,zhòngliàng,4
逐步,逐步,zhúbù,4
逐渐,逐漸,zhújiàn,4
主题,主題,zhǔtí,4
主席,主席,zhǔxí,4
祝福,祝福,zhùfú,4
著名,著名,zhùmíng,4
著作,著作,zhùzuò,4
抓紧,抓緊,zhuājǐn,4
专心,專心,zhuānxīn,4
转动,轉動,zhuǎndòng,4
转告,轉告,zhuǎngào,4
转身,轉身,zhuǎnshēn,4
转弯,轉彎,zhuǎnwān,4
转移,轉移,zhuǎnyí,4
装修,裝修,zhuāngxiū,4
装置,裝置,zhuāngzhì,4
追求,追求,zhuīqiú,4
准时,準時,zhǔnshí,4
资料,資料,zīliào,4
资源,資源,zīyuán,4
自,自,zì,4
自信,自信,zìxìn,4
字母,字母,zìmǔ,4
综合,綜合,zōnghé,4
总共,總共,zǒnggòng,4
总理,總理,zǒnglǐ,4
总统,總統,zǒngtǒng,4
总之,總之,zǒngzhī,4
阻止,阻止,zǔzhǐ,4
嘴巴,嘴巴,zuǐba,4
最初,最初,zuìchū,4
作出,作出,zuòchū,4
作为,作為,zuòwéi,4
做梦,做夢,zuòmèng,4
安慰,安慰,ānwèi,5
岸,岸,àn,5
岸上,岸上,àn shang,5
按摩,按摩,ànmó,5
拔,拔,bá,5
白酒,白酒,báijiǔ,5
拜访,拜訪,bàifǎng,5
版,版,bǎn,5
扮演,扮演,bànyǎn,5
棒,棒,bàng,5
包围,包圍,bāowéi,5
包装,包裝,bāozhuāng,5
保卫,保衛,bǎowèi,5
保养,保養,bǎoyǎng,5
报答,報答,bàodá,5
报警,報警,bàojǐng,5
抱怨,抱怨,bàoyuàn,5
背包,背包,bēibāo,5
悲剧,悲劇,bēijù,5
悲伤,悲傷,bēishāng,5
北极,北極,běijí,5
被动,被動,bèidòng,5
辈,輩,bèi,5
本人,本人,běnrén,5
鼻子,鼻子,bízi,5
比方,比方,bǐfang,5
比重,比重,bǐzhòng,5
彼此,彼此,bǐcǐ,5
必,必,bì,5
必需,必需,bìxū,5
毕竟,畢竟,bìjìng,5
闭幕,閉幕,bìmù,5
闭幕式,閉幕式,bìmùshì,5
边境,邊境,biānjìng,5
编辑,編輯,biānjí,5
编辑,編輯,biānji,5
变动,變動,biàndòng,5
便利,便利,biànlì,5
便条,便條,biàntiáo,5
便于,便於,biànyú,5
宾馆,賓館,bīnguǎn,5
饼,餅,bǐng,5
饼干,餅乾,bǐnggān,5
病毒,病毒,bìngdú,5
玻璃,玻璃,bōli,5
博客,博客,bókè,5
博览会,博覽會,bólǎnhuì,5
博士,博士,bóshì,5
博物馆,博物館,bówùguǎn,5
薄弱,薄弱,bóruò,5
不顾,不顧,bùgù,5
不利,不利,bùlì,5
不耐烦,不耐煩,bù nàifán,5
不幸,不幸,bùxìng,5
不易,不易,bùyì,5
补偿,補償,bǔcháng,5
补贴,補貼,bǔtiē,5
不曾,不曾,bùcéng,5
不得了,不得了,bùdéliǎo,5
不敢当,不敢當,bùgǎndāng,5
不良,不良,bùliáng,5
不免,不免,bùmiǎn,5
不能不,不能不,bù néng bù,5
不时,不時,bùshí,5
不停,不停,bù tíng,5
不许,不許,bùxǔ,5
不止,不止,bùzhǐ,5
不足,不足,bùzú,5
部位,部位,bùwèi,5
猜,猜,cāi,5
猜测,猜測,cāicè,5
裁判,裁判,cáipàn,5
采购,採購,cǎigòu,5
彩票,彩票,cǎipiào,5
餐馆,餐館,cānguǎn,5
餐厅,餐廳,cāntīng,5
餐饮,餐飲,cānyǐn,5
草原,草原,cǎoyuán,5
册,冊,cè,5
层次,層次,céngcì,5
叉,叉,chā,5
叉子,叉子,chāzi,5
差别,差別,chābié,5
差距,差距,chājù,5
插,插,chā,5
查询,查詢,cháxún,5
拆,拆,chāi,5
拆除,拆除,chāichú,5
产业,產業,chǎnyè,5
长度,長度,chángdù,5
长寿,長壽,chángshòu,5
肠,腸,cháng,5
尝,嚐|嘗,cháng,5
尝试,嘗試,chángshì,5
厂长,廠長,chǎngzhǎng,5
场面,場面,chǎngmiàn,5
倡导,倡導,chàngdǎo,5
超越,超越,chāoyuè,5
车主,車主,chēzhǔ,5
称2,稱2,chēng,5
称号,稱號,chēnghào,5
成本,成本,chéngběn,5
成交,成交,chéngjiāo,5
成效,成效,chéngxiào,5
成语,成語,chéngyǔ,5
承办,承辦,chéngbàn,5
城里,城裡,chénglǐ,5
乘,乘,chéng,5
乘车,乘車,chéng chē,5
乘客,乘客,chéngkè,5
乘坐,乘坐,chéngzuò,5
吃力,吃力,chīlì,5
池子,池子,chízi,5
迟,遲,chí,5
冲动,衝動,chōngdòng,5
冲突,衝突,chōngtū,5
充足,充足,chōngzú,5
愁,愁,chóu,5
丑,醜,chǒu,5
臭,臭,chòu,5
出版,出版,chūbǎn,5
出差,出差,chūchāi,5
出汗,出汗,chūhàn,5
出于,出於,chūyú,5
初期,初期,chūqī,5
除非,除非,chúfēi,5
除夕,除夕,chúxī,5
厨房,廚房,chúfáng,5
处罚,處罰,chǔfá,5
处分,處分,chǔfèn,5
处在,處在,chǔzài,5
传达,傳達,chuándá,5
传递,傳遞,chuándì,5
传真,傳真,chuánzhēn,5
窗帘,窗簾,chuānglián,5
闯,闖,chuǎng,5
创立,創立,chuànglì,5
辞典,辭典,cídiǎn,5
辞职,辭職,cízhí,5
此后,此後,cǐhòu,5
此刻,此刻,cǐkè,5
此时,此時,cǐshí,5
聪明,聰明,cōngmíng,5
从而,從而,cóng'ér,5
从中,從中,cóngzhōng,5
脆,脆,cuì,5
存款,存款,cúnkuǎn,5
寸,寸,cùn,5
达成,達成,dáchéng,5
答,答,dá,5
答复,答覆,dáfù,5
打,打,dǎ,5
打扮,打扮,dǎban,5
打包,打包,dǎbāo,5
打击,打擊,dǎjī,5
打架,打架,dǎjià,5
打扰,打擾,dǎrǎo,5
大胆,大膽,dàdǎn,5
大都,大都,dàdū,5
大纲,大綱,dàgāng,5
大伙儿,大伙兒,dàhuǒr,5
大奖赛,大獎賽,dàjiǎngsài,5
大脑,大腦,dànǎo,5
大事,大事,dàshì,5
大厅,大廳,dàtīng,5
大象,大象,dàxiàng,5
大熊猫,大熊貓,dàxióngmāo,5
大于,大於,dàyú,5
大致,大致,dàzhì,5
呆,呆,dāi,5
待,待,dāi,5
代价,代價,dàijià,5
代理,代理,dàilǐ,5
带有,帶有,dàiyǒu,5
贷款,貸款,dàikuǎn,5
单一,單一,dānyī,5
胆,膽,dǎn,5
胆小,膽小,dǎnxiǎo,5
蛋糕,蛋糕,dàngāo,5
当场,當場,dāngchǎng,5
当代,當代,dāngdài,5
当年,當年,dāngnián,5
当前,當前,dāngqián,5
当选,當選,dāngxuǎn,5
挡,擋,dǎng,5
到来,到來,dàolái,5
倒是,倒是,dàoshì,5
道德,道德,dàodé,5
得了,得了,déle,5
得以,得以,déyǐ,5
等候,等候,děnghòu,5
等级,等級,děngjí,5
低于,低於,dīyú,5
地带,地帶,dìdài,5
地形,地形,dìxíng,5
地震,地震,dìzhèn,5
递,遞,dì,5
递给,遞給,dì gěi,5
典礼,典禮,diǎnlǐ,5
点燃,點燃,diǎnrán,5
电池,電池,diànchí,5
电饭锅,電飯鍋,diànfànguō,5
电子版,電子版,diànzǐbǎn,5
调动,調動,diàodòng,5
丢,丟,diū,5
动机,動機,dòngjī,5
动手,動手,dòngshǒu,5
动态,動態,dòngtài,5
动员,動員,dòngyuán,5
冻,凍,dòng,5
洞,洞,dòng,5
豆制品,豆製品,dòuzhìpǐn,5
毒,毒,dú,5
堆,堆,duī,5
对立,對立,duìlì,5
对应,對應,duìyìng,5
吨,噸,dūn,5
朵,朵,duǒ,5
躲,躲,duǒ,5
儿女,兒女,érnǚ,5
耳朵,耳朵,ěrduo,5
二维码,二維碼,èrwéimǎ,5
发布,發布|發佈,fābù,5
发觉,發覺,fājué,5
发射,發射,fāshè,5
发行,發行,fāxíng,5
罚,罰,fá,5
罚款,罰款,fákuǎn,5
法规,法規,fǎguī,5
法制,法制,fǎzhì,5
繁荣,繁榮,fánróng,5
返回,返回,fǎnhuí,5
防治,防治,fángzhì,5
放大,放大,fàngdà,5
放弃,放棄,fàngqì,5
分成,分成,fēnchéng,5
分解,分解,fēnjiě,5
分类,分類,fēnlèi,5
分离,分離,fēnlí,5
分析,分析,fēnxī,5
分享,分享,fēnxiǎng,5
丰收,豐收,fēngshōu,5
风度,風度,fēngdù,5
风光,風光,fēngguāng,5
封,封,fēng,5
疯,瘋,fēng,5
疯狂,瘋狂,fēngkuáng,5
扶,扶,fú,5
服从,服從,fúcóng,5
幅,幅,fú,5
幅度,幅度,fúdù,5
福利,福利,fúlì,5
辅助,輔助,fǔzhù,5
负责人,負責人,fùzérén,5
附件,附件,fùjiàn,5
改革,改革,gǎigé,5
干脆,乾脆,gāncuì,5
干扰,干擾,gānrǎo,5
干预,干預,gānyù,5
感想,感想,gǎnxiǎng,5
钢笔,鋼筆,gāngbǐ,5
钢琴,鋼琴,gāngqín,5
高大,高大,gāodà,5
高度,高度,gāodù,5
高跟鞋,高跟鞋,gāogēnxié,5
高温,高溫,gāowēn,5
高于,高於,gāoyú,5
高原,高原,gāoyuán,5
搞,搞,gǎo,5
搞好,搞好,gǎohǎo,5
歌曲,歌曲,gēqǔ,5
隔壁,隔壁,gébì,5
个儿,個兒,gèr,5
跟前,跟前,gēnqián,5
跟随,跟隨,gēnsuí,5
更换,更換,gēnghuàn,5
更新,更新,gēngxīn,5
工艺,工藝,gōngyì,5
工作日,工作日,gōngzuòrì,5
公告,公告,gōnggào,5
公认,公認,gōngrèn,5
公式,公式,gōngshì,5
公正,公正,gōngzhèng,5
共计,共計,gòngjì,5
共享,共享,gòngxiǎng,5
沟,溝,gōu,5
沟通,溝通,gōutōng,5
估计,估計,gūjì,5
古老,古老,gǔlǎo,5
鼓,鼓,gǔ,5
鼓励,鼓勵,gǔlì,5
鼓掌,鼓掌,gǔzhǎng,5
顾问,顧問,gùwèn,5
怪,怪,guài,5
关怀,關懷,guānhuái,5
关键,關鍵,guānjiàn,5
冠军,冠軍,guànjūn,5
光荣,光榮,guāngróng,5
光线,光線,guāngxiàn,5
广,廣,guǎng,5
广泛,廣泛,guǎngfàn,5
规划,規劃,guīhuà,5
鬼,鬼,guǐ,5
柜子,櫃子,guìzi,5
滚,滾,gǔn,5
锅,鍋,guō,5
国籍,國籍,guójí,5
国民,國民,guómín,5
过度,過度,guòdù,5
过敏,過敏,guòmǐn,5
过于,過於,guòyú,5
害,害,hài,5
汗,汗,hàn,5
好运,好運,hǎoyùn,5
号召,號召,hàozhào,5
合并,合併,hébìng,5
合成,合成,héchéng,5
盒,盒,hé,5
盒饭,盒飯,héfàn,5
盒子,盒子,hézi,5
贺卡,賀卡,hèkǎ,5
恨,恨,hèn,5
猴,猴,hóu,5
后悔,後悔,hòuhuǐ,5
胡同儿,胡同兒,hútòngr,5
胡子,鬍子,húzi,5
虎,虎,hǔ,5
华语,華語,Huáyǔ,5
滑,滑,huá,5
化石,化石,huàshí,5
划分,劃分,huàfēn,5
画面,畫面,huàmiàn,5
环节,環節,huánjié,5
慌,慌,huāng,5
慌忙,慌忙,huāngmáng,5
灰色,灰色,huīsè,5
恢复,恢復,huīfù,5
回报,回報,huíbào,5
回避,迴避,huíbì,5
回顾,回顧,huígù,5
回收,回收,huíshōu,5
回头,回頭,huítóu,5
回信,回信,huíxìn,5
回忆,回憶,huíyì,5
汇款,匯款,huìkuǎn,5
会谈,會談,huìtán,5
活力,活力,huólì,5
活泼,活潑,huópō,5
火柴,火柴,huǒchái,5
火腿,火腿,huǒtuǐ,5
火灾,火災,huǒzāi,5
或是,或是,huòshì,5
机器人,機器人,jīqìrén,5
机制,機制,jīzhì,5
肌肉,肌肉,jīròu,5
基地,基地,jīdì,5
基金,基金,jījīn,5
即使,即使,jíshǐ,5
集团,集團,jítuán,5
挤,擠,jǐ,5
记忆,記憶,jìyì,5
技能,技能,jìnéng,5
继承,繼承,jìchéng,5
加热,加熱,jiārè,5
加上,加上,jiāshàng,5
加速,加速,jiāsù,5
加以,加以,jiāyǐ,5
夹,夾,jiā,5
甲,甲,jiǎ,5
价,價,jià,5
驾驶,駕駛,jiàshǐ,5
驾照,駕照,jiàzhào,5
坚定,堅定,jiāndìng,5
肩,肩,jiān,5
艰苦,艱苦,jiānkǔ,5
艰难,艱難,jiānnán,5
检验,檢驗,jiǎnyàn,5
减轻,減輕,jiǎnqīng,5
剪,剪,jiǎn,5
剪刀,剪刀,jiǎndāo,5
剪子,剪子,jiǎnzi,5
间接,間接,jiànjiē,5
建造,建造,jiànzào,5
建筑,建築,jiànzhù,5
健全,健全,jiànquán,5
键,鍵,jiàn,5
键盘,鍵盤,jiànpán,5
将,將,jiāng,5
将要,將要,jiāngyào,5
奖励,獎勵,jiǎnglì,5
交代,交代,jiāodài,5
郊区,郊區,jiāoqū,5
胶带,膠帶,jiāodài,5
胶水,膠水,jiāoshuǐ,5
脚步,腳步,jiǎobù,5
接触,接觸,jiēchù,5
接连,接連,jiēlián,5
解除,解除,jiěchú,5
解放,解放,jiěfàng,5
戒,戒,jiè,5
届,屆,jiè,5
今日,今日,jīnrì,5
尽管,儘管,jǐnguǎn,5
紧紧,緊緊,jǐnjǐn,5
尽可能,盡可能,jìn kěnéng,5
进化,進化,jìnhuà,5
近来,近來,jìnlái,5
经费,經費,jīngfèi,5
景象,景象,jǐngxiàng,5
警告,警告,jǐnggào,5
竞赛,競賽,jìngsài,5
竞争,競爭,jìngzhēng,5
酒鬼,酒鬼,jiǔguǐ,5
救灾,救災,jiùzāi,5
居然,居然,jūrán,5
局面,局面,júmiàn,5
局长,局長,júzhǎng,5
举动,舉動,jǔdòng,5
拒绝,拒絕,jùjué,5
俱乐部,俱樂部,jùlèbù,5
剧本,劇本,jùběn,5
决不,決不,jué bù,5
绝望,絕望,juéwàng,5
军人,軍人,jūnrén,5
开幕,開幕,kāimù,5
开幕式,開幕式,kāimùshì,5
看成,看成,kànchéng,5
看出,看出,kànchū,5
看待,看待,kàndài,5
考核,考核,kǎohé,5
烤肉,烤肉,kǎoròu,5
烤鸭,烤鴨,kǎoyā,5
靠近,靠近,kàojìn,5
颗,顆,kē,5
咳,咳,ké,5
可,可,kě,5
可怜,可憐,kělián,5
可惜,可惜,kěxī,5
渴望,渴望,kěwàng,5
刻,刻,kè,5
客户,客戶,kèhù,5
客气,客氣,kèqi,5
客厅,客廳,kètīng,5
课题,課題,kètí,5
肯定,肯定,kěndìng,5
空中,空中,kōngzhōng,5
控制,控制,kòngzhì,5
口号,口號,kǒuhào,5
库,庫,kù,5
快活,快活,kuàihuo,5
宽度,寬度,kuāndù,5
狂,狂,kuáng,5
亏,虧,kuī,5
困扰,困擾,kùnrǎo,5
落,落,là,5
来信,來信,láixìn,5
烂,爛,làn,5
朗读,朗讀,lǎngdú,5
浪漫,浪漫,làngmàn,5
劳动,勞動,láodòng,5
梨,梨,lí,5
礼,禮,lǐ,5
礼拜,禮拜,lǐbài,5
礼貌,禮貌,lǐmào,5
厉害,厲害,lìhai,5
立,立,lì,5
立场,立場,lìchǎng,5
利润,利潤,lìrùn,5
例外,例外,lìwài,5
连接,連接,liánjiē,5
联络,聯絡,liánluò,5
联想,聯想,liánxiǎng,5
脸盆,臉盆,liǎnpén,5
脸色,臉色,liǎnsè,5
恋爱,戀愛,liàn'ài,5
两岸,兩岸,liǎng'àn,5
邻居,鄰居,línjū,5
铃,鈴,líng,5
铃声,鈴聲,língshēng,5
领带,領帶,lǐngdài,5
令,令,lìng,5
流动,流動,liúdòng,5
流通,流通,liútōng,5
漏,漏,lòu,5
漏洞,漏洞,lòudòng,5
逻辑,邏輯,luójí,5
落实,落實,luòshí,5
码头,碼頭,mǎtóu,5
骂,罵,mà,5
买卖,買賣,mǎimai,5
漫长,漫長,màncháng,5
漫画,漫畫,mànhuà,5
毛笔,毛筆,máobǐ,5
矛盾,矛盾,máodùn,5
冒,冒,mào,5
贸易,貿易,màoyì,5
煤,煤,méi,5
煤气,煤氣,méiqì,5
门诊,門診,ménzhěn,5
迷人,迷人,mírén,5
迷信,迷信,míxìn,5
面貌,面貌,miànmào,5
面子,面子,miànzi,5
秒,秒,miǎo,5
敏感,敏感,mǐngǎn,5
明亮,明亮,míngliàng,5
明明,明明,míngmíng,5
命令,命令,mìnglìng,5
模范,模範,mófàn,5
模仿,模仿,mófǎng,5
模糊,模糊,móhu,5
模式,模式,móshì,5
摩擦,摩擦,mócā,5
摩托,摩托,mótuō,5
模样,模樣,múyàng,5
目光,目光,mùguāng,5
耐心,耐心,nàixīn,5
男性,男性,nánxìng,5
南北,南北,nánběi,5
南极,南極,nánjí,5
难得,難得,nándé,5
难以,難以,nányǐ,5
脑子,腦子,nǎozi,5
内在,內在,nèizài,5
能量,能量,néngliàng,5
年度,年度,niándù,5
年龄,年齡,niánlíng,5
年前,年前,niánqián,5
牛,牛,niú,5
牛仔裤,牛仔褲,niúzǎikù,5
农产品,農產品,nóngchǎnpǐn,5
女性,女性,nǚxìng,5
暖,暖,nuǎn,5
偶尔,偶爾,ǒu'ěr,5
偶然,偶然,ǒurán,5
偶像,偶像,ǒuxiàng,5
拍摄,拍攝,pāishè,5
排除,排除,páichú,5
旁,旁,páng,5
陪,陪,péi,5
赔,賠,péi,5
赔偿,賠償,péicháng,5
配备,配備,pèibèi,5
配套,配套,pèitào,5
喷,噴,pēn,5
盆,盆,pén,5
披,披,pī,5
皮肤,皮膚,pífū,5
皮鞋,皮鞋,píxié,5
脾气,脾氣,píqi,5
匹,匹,pǐ,5
骗,騙,piàn,5
骗子,騙子,piànzi,5
拼,拼,pīn,5
频道,頻道,píndào,5
频繁,頻繁,pínfán,5
品,品,pǐn,5
品种,品種,pǐnzhǒng,5
平坦,平坦,píngtǎn,5
平原,平原,píngyuán,5
评估,評估,pínggū,5
评论,評論,pínglùn,5
凭,憑,píng,5
泼,潑,pō,5
葡萄,葡萄,pútao,5
葡萄酒,葡萄酒,pútaojiǔ,5
期望,期望,qīwàng,5
齐全,齊全,qíquán,5
其,其,qí,5
启动,啟動,qǐdòng,5
启发,啟發,qǐfā,5
启事,啟事,qǐshì,5
起到,起到,qǐdào,5
起码,起碼,qǐmǎ,5
气体,氣體,qìtǐ,5
气象,氣象,qìxiàng,5
签,簽,qiān,5
签订,簽訂,qiāndìng,5
签名,簽名,qiānmíng,5
签约,簽約,qiānyuē,5
签证,簽證,qiānzhèng,5
签字,簽字,qiānzì,5
前景,前景,qiánjǐng,5
前提,前提,qiántí,5
欠,欠,qiàn,5
枪,槍,qiāng,5
强度,強度,qiángdù,5
墙壁,牆壁,qiángbì,5
抢,搶,qiǎng,5
抢救,搶救,qiǎngjiù,5
强迫,強迫,qiǎngpò,5
悄悄,悄悄,qiāoqiāo,5
敲,敲,qiāo,5
敲门,敲門,qiāo mén,5
瞧,瞧,qiáo,5
琴,琴,qín,5
勤奋,勤奮,qínfèn,5
青,青,qīng,5
清晨,清晨,qīngchén,5
清理,清理,qīnglǐ,5
情节,情節,qíngjié,5
情形,情形,qíngxing,5
晴朗,晴朗,qínglǎng,5
区域,區域,qūyù,5
全都,全都,quándōu,5
全世界,全世界,quán shìjiè,5
泉,泉,quán,5
劝,勸,quàn,5
缺乏,缺乏,quēfá,5
确立,確立,quèlì,5
群体,群體,qúntǐ,5
群众,群眾,qúnzhòng,5
染,染,rǎn,5
绕,繞,rào,5
热量,熱量,rèliàng,5
热门,熱門,rèmén,5
人间,人間,rénjiān,5
人力,人力,rénlì,5
人士,人士,rénshì,5
人物,人物,rénwù,5
忍,忍,rěn,5
忍不住,忍不住,rěn bu zhù,5
忍受,忍受,rěnshòu,5
认,認,rèn,5
认定,認定,rèndìng,5
扔,扔,rēng,5
仍旧,仍舊,réngjiù,5
如此,如此,rúcǐ,5
如同,如同,rútóng,5
如下,如下,rúxià,5
入门,入門,rùmén,5
软,軟,ruǎn,5
软件,軟件,ruǎnjiàn,5
洒,灑,sǎ,5
散,散,sǎn,5
散文,散文,sǎnwén,5
杀,殺,shā,5
杀毒,殺毒,shādú,5
沙漠,沙漠,shāmò,5
傻,傻,shǎ,5
山区,山區,shānqū,5
扇,扇,shān,5
扇,扇,shàn,5
扇子,扇子,shànzi,5
商标,商標,shāngbiāo,5
上级,上級,shàngjí,5
上下,上下,shàngxià,5
上涨,上漲,shàngzhǎng,5
稍,稍,shāo,5
稍微,稍微,shāowēi,5
蛇,蛇,shé,5
舍不得,捨不得,shěbude,5
舍得,捨得,shěde,5
设想,設想,shèxiǎng,5
社,社,shè,5
社区,社區,shèqū,5
射,射,shè,5
射击,射擊,shèjī,5
摄像,攝像,shèxiàng,5
摄像机,攝像機,shèxiàngjī,5
摄影,攝影,shèyǐng,5
摄影师,攝影師,shèyǐngshī,5
伸,伸,shēn,5
深处,深處,shēnchù,5
深度,深度,shēndù,5
神,神,shén,5
神经,神經,shénjīng,5
神奇,神奇,shénqí,5
神情,神情,shénqíng,5
升高,升高,shēnggāo,5
生成,生成,shēngchéng,5
声,聲,shēng,5
胜负,勝負,shèngfù,5
剩,剩,shèng,5
剩下,剩下,shèngxia,5
失误,失誤,shīwù,5
师傅,師傅,shīfu,5
诗歌,詩歌,shīgē,5
十足,十足,shízú,5
时常,時常,shícháng,5
时光,時光,shíguāng,5
时机,時機,shíjī,5
时事,時事,shíshì,5
实惠,實惠,shíhuì,5
拾,拾,shí,5
使得,使得,shǐde,5
示范,示範,shìfàn,5
式,式,shì,5
势力,勢力,shìlì,5
试图,試圖,shìtú,5
视频,視頻,shìpín,5
视为,視為,shìwéi,5
收购,收購,shōugòu,5
收集,收集,shōují,5
收拾,收拾,shōushi,5
手段,手段,shǒuduàn,5
手法,手法,shǒufǎ,5
寿司,壽司,shòusī,5
受灾,受災,shòuzāi,5
瘦,瘦,shòu,5
书法,書法,shūfǎ,5
书柜,書櫃,shūguì,5
书桌,書桌,shūzhuō,5
输出,輸出,shūchū,5
蔬菜,蔬菜,shūcài,5
熟悉,熟悉,shúxi,5
鼠,鼠,shǔ,5
鼠标,鼠標,shǔbiāo,5
数目,數目,shùmù,5
摔,摔,shuāi,5
摔倒,摔倒,shuāidǎo,5
率领,率領,shuàilǐng,5
双手,雙手,shuāng shǒu,5
水产品,水產品,shuǐchǎnpǐn,5
水分,水分,shuǐfèn,5
水库,水庫,shuǐkù,5
水灾,水災,shuǐzāi,5
睡眠,睡眠,shuìmián,5
说法,說法,shuōfǎ,5
硕士,碩士,shuòshì,5
私人,私人,sīrén,5
思维,思維,sīwéi,5
四周,四周,sìzhōu,5
搜,搜,sōu,5
搜索,搜索,sōusuǒ,5
宿舍,宿舍,sùshè,5
酸甜苦辣,酸甜苦辣,suān-tián-kǔ-là,5
随后,隨後,suíhòu,5
